id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate
654;Nectar Orange;Boissons;;;;50;5;91.jpg;
300;Nesquik Cereal;Boissons;7613287366665;;;50;5;92.jpg;
145;Nesquik Cocoa;Boissons;7613287431943;;;50;5;93.jpg;
400;Nutabella;Boissons;6111265980243;;;50;5;94.jpg;
332;Orangina et sa Pulpe !;Boissons;8435185101112;;;50;5;95.jpg;
473;Oreo chocolate;Boissons;6111031005590;;;50;5;96.jpg;
371;Oulmes virgin mojito;Boissons;6111035002113;;;50;5;97.jpg;
522;Pepsi;Boissons;;;;50;5;98.jpg;
665;Pepsi;Boissons;;;;50;5;99.jpg;
447;Pepsi 2L;Boissons;6111252420059;;;50;5;100.jpg;
265;Poms 2;Boissons;5449000036957;;;50;5;101.jpg;
156;Press Up moyen;Boissons;6111242107366;;;50;5;102.jpg;
244;Príncipe crema de chocolate;Boissons;7622210204424;;;50;5;103.jpg;
456;Pulpy pècne;Boissons;5449000203823;;;50;5;104.jpg;
321;Pâte à tartiner;Boissons;6111262820245;;;50;5;105.jpg;
652;Rubicon Jus;Boissons;;;;50;5;106.jpg;
643;Rubicon Orange;Boissons;;;;50;5;107.jpg;
327;Sandwich Zero Sin Azúcares;Boissons;8410376037784;;;50;5;108.jpg;
341;Schweppes citron 45cl;Boissons;5449000318947;;;50;5;109.jpg;
295;Simon life;Boissons;8410261643014;;;50;5;110.jpg;
325;Spofy;Boissons;3362600017619;;;50;5;111.jpg;
206;Sprite;Boissons;5449000015105;;;50;5;112.jpg;
393;Sting - Berry Blast;Boissons;6111252422169;;;50;5;113.jpg;
349;Tentation;Boissons;6111017046029;;;50;5;114.jpg;
342;Tentation aiguebelle;Boissons;6111017046043;;;50;5;115.jpg;
419;Zero sin azúcares Chip Choco;Boissons;8410376009415;;;50;5;116.jpg;
319;cola;Boissons;54022263;;;50;5;117.jpg;
368;délice noir;Boissons;6111017046470;;;50;5;118.jpg;
228;fanta tops lemon 1.5l;Boissons;5449000132277;;;50;5;119.jpg;
359;frut;Boissons;6111242926035;;;50;5;120.jpg;
315;ice POMME 1.5l;Boissons;6111243860383;;;50;5;121.jpg;
312;ice cola strong;Boissons;6111243860352;;;50;5;122.jpg;
369;lipton yellow label tea x25;Boissons;8720608632633;;;50;5;123.jpg;
331;original oreo;Boissons;6111031005576;;;50;5;124.jpg;
123;press up jaouda petit orange;Boissons;6111266962910;;;50;5;125.jpg;
234;refresco de naranja;Boissons;5449000036889;;;50;5;126.jpg;
208;saveur fruit rouge ice tea;Boissons;6111252422428;;;50;5;127.jpg;
125;برس اب الخوخ جودة 1لتر;Boissons;6111242104198;;;50;5;128.jpg;
444;برس اب الخوخ جودة 1لتر;Boissons;6111242104549;;;50;5;129.jpg;
235;عصري بناشي;Boissons;6111032002970;;;50;5;130.jpg;
531;Aicha Confiture;Confitures & Tartinables;;;;50;5;131.jpg;
581;Aicha Confiture;Confitures & Tartinables;;;;50;5;132.jpg;
600;Aicha Confiture;Confitures & Tartinables;;;;50;5;133.jpg;
623;Aicha Confiture;Confitures & Tartinables;;;;50;5;134.jpg;
659;Aicha Confiture;Confitures & Tartinables;;;;50;5;135.jpg;
696;Aicha Confiture;Confitures & Tartinables;;;;50;5;136.jpg;
533;Confiture;Confitures & Tartinables;;;;50;5;137.jpg;
621;Confiture;Confitures & Tartinables;;;;50;5;138.jpg;
207;Confiture De Fraises Aicha;Confitures & Tartinables;6111021013208;;;50;5;139.jpg;
438;Confiture d'Abricots Extra;Confitures & Tartinables;6111021013109;;;50;5;140.jpg;
53;Confiture d'abricot;Confitures & Tartinables;6111162000716;;;50;5;141.jpg;
282;Confiture d'abricots;Confitures & Tartinables;6111184000244;;;50;5;142.jpg;
164;Confiture de fraise;Confitures & Tartinables;6111162000822;;;50;5;143.jpg;
345;Confiture de fraise;Confitures & Tartinables;6111184001180;;;50;5;144.jpg;
426;Confiture de fraise;Confitures & Tartinables;6111021012201;;;50;5;145.jpg;
47;Confiture de fraise;Confitures & Tartinables;6111162000839;;;50;5;146.jpg;
61;Confiture de fraise;Confitures & Tartinables;6111184001074;;;50;5;147.jpg;
299;Confiture de fraises;Confitures & Tartinables;6111184001173;;;50;5;148.jpg;
194;Delicia;Confitures & Tartinables;6111162001164;;;50;5;149.jpg;
452;Double concentré de tomates;Confitures & Tartinables;6111162001195;;;50;5;150.jpg;
133;Délicia - Confiture d'abricot;Confitures & Tartinables;6111162000723;;;50;5;151.jpg;
279;Délicia - confiture d'abricot;Confitures & Tartinables;6111162001188;;;50;5;152.jpg;
81;El Baraka Confiture D'abricots 430 G;Confitures & Tartinables;6111184000213;;;50;5;153.jpg;
397;Konfitura Morelowa 240g*EL Baraka*;Confitures & Tartinables;6111184000190;;;50;5;154.jpg;
329;La delicieuse;Confitures & Tartinables;6111250471565;;;50;5;155.jpg;
232;Nutella;Confitures & Tartinables;80176800;89.95;;50;5;156.jpg;
425;Peripella;Confitures & Tartinables;6111250474405;;;50;5;157.jpg;
494;Pâte à tartiner aux noisettes et au cacao;Confitures & Tartinables;6111037002753;;;50;5;158.jpg;
