id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;priceStatus;imageStatus
60;Gullon ostya Kakaó 60g;Boissons;8410376059373;0.0;0.0;50;5;60.jpg;;MISSING;MISSING
61;HAWAI ANANAS;Boissons;5449000036919;0.0;0.0;50;5;61.jpg;;MISSING;MISSING
62;Hawai Tropical;Boissons;5449000036872;0.0;0.0;50;5;62.jpg;;MISSING;MISSING
63;Hawaii;Boissons;90418235;0.0;0.0;50;5;63.jpg;;MISSING;MISSING
64;Haway tropical;Boissons;5449000025272;0.0;0.0;50;5;64.jpg;;MISSING;MISSING
65;Ice Passion;Boissons;6111243860376;0.0;0.0;50;5;65.jpg;;MISSING;MISSING
66;Jibi;Boissons;6111032007128;0.0;0.0;50;5;66.jpg;;MISSING;MISSING
67;Jutos;Boissons;6111242106666;0.0;0.0;50;5;67.jpg;;MISSING;MISSING
68;Jutos;Boissons;6111242106673;0.0;0.0;50;5;68.jpg;;MISSING;MISSING
69;Jutos Orange;Boissons;;0.0;0.0;50;5;69.jpg;;MISSING;MISSING
70;Jutos cocktail;Boissons;6111242106277;0.0;0.0;50;5;70.jpg;;MISSING;MISSING
71;King cookies choco;Boissons;6111259343344;0.0;0.0;50;5;71.jpg;;MISSING;MISSING
72;Lemon;Boissons;50112784;0.0;0.0;50;5;72.jpg;;MISSING;MISSING
73;Marhaba;Boissons;6111260680452;0.0;0.0;50;5;73.jpg;;MISSING;MISSING
74;Marjane Nectar Orange;Boissons;;0.0;0.0;50;5;74.jpg;;MISSING;MISSING
75;Mejora;Boissons;6111017045404;0.0;0.0;50;5;75.jpg;;MISSING;MISSING
76;Merendina;Boissons;6111031005439;0.0;0.0;50;5;76.jpg;;MISSING;MISSING
77;Momo black;Boissons;6111259341197;0.0;0.0;50;5;77.jpg;;MISSING;MISSING
78;Napolitain Noir;Boissons;6111017045329;0.0;0.0;50;5;78.jpg;;MISSING;MISSING
79;Nectar Orange;Boissons;6111179003847;0.0;0.0;50;5;79.jpg;;MISSING;MISSING
80;Nectar Orange;Boissons;;0.0;0.0;50;5;80.jpg;;MISSING;MISSING
81;Nesquik Cereal;Boissons;7613287366665;0.0;0.0;50;5;81.jpg;;MISSING;MISSING
82;Nesquik Cocoa;Boissons;7613287431943;0.0;0.0;50;5;82.jpg;;MISSING;MISSING
83;Nutabella;Boissons;6111265980243;0.0;0.0;50;5;83.jpg;;MISSING;MISSING
84;Orangina et sa Pulpe !;Boissons;8435185101112;0.0;0.0;50;5;84.jpg;;MISSING;MISSING
85;Oreo chocolate;Boissons;6111031005590;0.0;0.0;50;5;85.jpg;;MISSING;MISSING
86;Oulmes virgin mojito;Boissons;6111035002113;0.0;0.0;50;5;86.jpg;;MISSING;MISSING
87;Pepsi;Boissons;;0.0;0.0;50;5;87.jpg;;MISSING;MISSING
88;Pepsi 2L;Boissons;6111252420059;0.0;0.0;50;5;88.jpg;;MISSING;MISSING
89;Poms 2;Boissons;5449000036957;0.0;0.0;50;5;89.jpg;;MISSING;MISSING
90;Press Up moyen;Boissons;6111242107366;0.0;0.0;50;5;90.jpg;;MISSING;MISSING
91;Príncipe crema de chocolate;Boissons;7622210204424;0.0;0.0;50;5;91.jpg;;MISSING;MISSING
92;Pulpy pècne;Boissons;5449000203823;0.0;0.0;50;5;92.jpg;;MISSING;MISSING
93;Pâte à tartiner;Boissons;6111262820245;0.0;0.0;50;5;93.jpg;;MISSING;MISSING
94;Rubicon Jus;Boissons;;0.0;0.0;50;5;94.jpg;;MISSING;MISSING
95;Rubicon Orange;Boissons;;0.0;0.0;50;5;95.jpg;;MISSING;MISSING
96;Sandwich Zero Sin Azúcares;Boissons;8410376037784;0.0;0.0;50;5;96.jpg;;MISSING;MISSING
97;Schweppes citron 45cl;Boissons;5449000318947;0.0;0.0;50;5;97.jpg;;MISSING;MISSING
98;Simon life;Boissons;8410261643014;0.0;0.0;50;5;98.jpg;;MISSING;MISSING
99;Spofy;Boissons;3362600017619;0.0;0.0;50;5;99.jpg;;MISSING;MISSING
100;Sprite;Boissons;5449000015105;0.0;0.0;50;5;100.jpg;;MISSING;MISSING
101;Sting - Berry Blast;Boissons;6111252422169;0.0;0.0;50;5;101.jpg;;MISSING;MISSING
102;Tentation;Boissons;6111017046029;0.0;0.0;50;5;102.jpg;;MISSING;MISSING
103;Tentation aiguebelle;Boissons;6111017046043;0.0;0.0;50;5;103.jpg;;MISSING;MISSING
104;Zero sin azúcares Chip Choco;Boissons;8410376009415;0.0;0.0;50;5;104.jpg;;MISSING;MISSING
105;cola;Boissons;54022263;0.0;0.0;50;5;105.jpg;;MISSING;MISSING
106;délice noir;Boissons;6111017046470;0.0;0.0;50;5;106.jpg;;MISSING;MISSING
107;fanta tops lemon 1.5l;Boissons;5449000132277;0.0;0.0;50;5;107.jpg;;MISSING;MISSING
108;frut;Boissons;6111242926035;0.0;0.0;50;5;108.jpg;;MISSING;MISSING
109;ice POMME 1.5l;Boissons;6111243860383;0.0;0.0;50;5;109.jpg;;MISSING;MISSING
110;ice cola strong;Boissons;6111243860352;0.0;0.0;50;5;110.jpg;;MISSING;MISSING
111;lipton yellow label tea x25;Boissons;8720608632633;0.0;0.0;50;5;111.jpg;;MISSING;MISSING
112;original oreo;Boissons;6111031005576;0.0;0.0;50;5;112.jpg;;MISSING;MISSING
113;press up jaouda petit orange;Boissons;6111266962910;0.0;0.0;50;5;113.jpg;;MISSING;MISSING
114;refresco de naranja;Boissons;5449000036889;0.0;0.0;50;5;114.jpg;;MISSING;MISSING
115;saveur fruit rouge ice tea;Boissons;6111252422428;0.0;0.0;50;5;115.jpg;;MISSING;MISSING
116;برس اب الخوخ جودة 1لتر;Boissons;6111242104198;0.0;0.0;50;5;116.jpg;;MISSING;MISSING
117;برس اب الخوخ جودة 1لتر;Boissons;6111242104549;0.0;0.0;50;5;117.jpg;;MISSING;MISSING
118;عصري بناشي;Boissons;6111032002970;0.0;0.0;50;5;118.jpg;;MISSING;MISSING
119;Aicha Confiture;Confitures & Tartinables;;0.0;0.0;50;5;119.jpg;;MISSING;MISSING
120;Confiture;Confitures & Tartinables;;0.0;0.0;50;5;120.jpg;;MISSING;MISSING
121;Confiture De Fraises Aicha;Confitures & Tartinables;6111021013208;0.0;0.0;50;5;121.jpg;;MISSING;MISSING
122;Confiture d'Abricots Extra;Confitures & Tartinables;6111021013109;0.0;0.0;50;5;122.jpg;;MISSING;MISSING
123;Confiture d'abricot;Confitures & Tartinables;6111162000716;0.0;0.0;50;5;123.jpg;;MISSING;MISSING
124;Confiture d'abricots;Confitures & Tartinables;6111184000244;0.0;0.0;50;5;124.jpg;;MISSING;MISSING
125;Confiture de fraise;Confitures & Tartinables;6111162000822;0.0;0.0;50;5;125.jpg;;MISSING;MISSING
126;Confiture de fraise;Confitures & Tartinables;6111184001180;0.0;0.0;50;5;126.jpg;;MISSING;MISSING
127;Confiture de fraise;Confitures & Tartinables;6111021012201;0.0;0.0;50;5;127.jpg;;MISSING;MISSING
128;Confiture de fraise;Confitures & Tartinables;6111162000839;0.0;0.0;50;5;128.jpg;;MISSING;MISSING
129;Confiture de fraise;Confitures & Tartinables;6111184001074;0.0;0.0;50;5;129.jpg;;MISSING;MISSING
130;Confiture de fraises;Confitures & Tartinables;6111184001173;0.0;0.0;50;5;130.jpg;;MISSING;MISSING
131;Delicia;Confitures & Tartinables;6111162001164;0.0;0.0;50;5;131.jpg;;MISSING;MISSING
132;Double concentré de tomates;Confitures & Tartinables;6111162001195;0.0;0.0;50;5;132.jpg;;MISSING;MISSING
133;Délicia - Confiture d'abricot;Confitures & Tartinables;6111162000723;0.0;0.0;50;5;133.jpg;;MISSING;MISSING
